attachment_id,title,source_export,source_url,source_page_count,source_pages_json
5008,7173,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/7173.jpg,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""5008"", ""title"": ""7173"", ""url"": ""https://na.org.za/jhb/7173/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""33"", ""title"": ""Predatory Behaviour"", ""url"": ""https://na.org.za/jhb/predatory-behaviour/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
5009,na-safety,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/na-safety.jpg,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""5009"", ""title"": ""na-safety"", ""url"": ""https://na.org.za/jhb/na-safety/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""33"", ""title"": ""Predatory Behaviour"", ""url"": ""https://na.org.za/jhb/predatory-behaviour/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
5012,96081,narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml,https://www.na.ldpdevelopment.co.za/jhb/wp-content/uploads/sites/5/2025/11/96081.jpg,2,"[{""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""5012"", ""title"": ""96081"", ""url"": ""https://na.org.za/jhb/96081/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymousjohannesburg.WordPress.2026-08-16.xml"", ""source_id"": ""12"", ""title"": ""New To NA"", ""url"": ""https://na.org.za/jhb/new-to-na/"", ""post_type"": ""page"", ""relation"": ""text-reference""}]"
8729,favicon,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/favicon.png,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8729"", ""title"": ""favicon"", ""url"": ""https://na.org.za/kzn/favicon/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8730"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/kzn/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""post-parent""}]"
8730,cropped-favicon.png,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/cropped-favicon.png,1,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8730"", ""title"": ""cropped-favicon.png"", ""url"": ""https://na.org.za/kzn/favicon/cropped-favicon-png/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}]"
8737,29680,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/29680.jpg,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8737"", ""title"": ""29680"", ""url"": ""https://na.org.za/kzn/29680/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""4781"", ""title"": ""Policies and Resources"", ""url"": ""https://na.org.za/kzn/et_pb_layout/policies-and-resources/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
8738,129014,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/129014.jpg,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8738"", ""title"": ""129014"", ""url"": ""https://na.org.za/kzn/129014/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/kzn/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
8739,zapper,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/zapper.png,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8739"", ""title"": ""zapper"", ""url"": ""https://na.org.za/kzn/zapper/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""4780"", ""title"": ""Contribute"", ""url"": ""https://na.org.za/kzn/et_pb_layout/contribute/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
8740,2150951473,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/2150951473.jpg,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8740"", ""title"": ""2150951473"", ""url"": ""https://na.org.za/kzn/2150951473/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""4779"", ""title"": ""Subcommittees"", ""url"": ""https://na.org.za/kzn/et_pb_layout/subcommittees/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
8741,559,narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml,https://www.gekkodev2.co.za/kzn/wp-content/uploads/sites/3/2025/11/559.jpg,2,"[{""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""8741"", ""title"": ""559"", ""url"": ""https://na.org.za/kzn/559/"", ""post_type"": ""attachment"", ""relation"": ""text-reference""}, {""xml_export"": ""narcoticsanonymouskwazulu-natal.WordPress.2026-08-16.xml"", ""source_id"": ""4778"", ""title"": ""Add Event"", ""url"": ""https://na.org.za/kzn/et_pb_layout/add-event/"", ""post_type"": ""et_pb_layout"", ""relation"": ""text-reference""}]"
